source,target,weight,start,end
E009,E025,1,1886-10-01T00:00:00,1886-10-01T00:00:00
E009,E045,1,1886-10-01T00:00:00,1886-10-01T00:00:00
E009,E072,1,1886-10-01T00:00:00,1886-10-01T00:00:00
E009,E078,1,1886-10-01T00:00:00,1886-10-01T00:00:00
E010,E011,1,1886-09-25T00:00:00,1886-09-25T00:00:00
E010,E013,1,1886-09-25T00:00:00,1886-09-25T00:00:00
E010,E024,1,1886-09-23T00:00:00,1886-09-23T00:00:00
E010,E025,2,1886-09-23T00:00:00,1886-10-01T00:00:00
E010,E026,1,1886-09-23T00:00:00,1886-09-23T00:00:00
E010,E032,2,1886-09-23T00:00:00,1886-09-25T00:00:00
E010,E033,1,1886-09-25T00:00:00,1886-09-25T00:00:00
E010,E036,1,1886-09-25T00:00:00,1886-09-25T00:00:00
E010,E037,1,1886-09-25T00:00:00,1886-09-25T00:00:00
E010,E039,1,1886-09-25T00:00:00,1886-09-25T00:00:00
E010,E045,1,1886-10-01T00:00:00,1886-10-01T00:00:00
E010,E051,1,1886-09-25T00:00:00,1886-09-25T00:00:00
E010,E052,1,1886-09-25T00:00:00,1886-09-25T00:00:00
E010,E059,1,1886-09-25T00:00:00,1886-09-25T00:00:00
E010,E060,1,1886-09-25T00:00:00,1886-09-25T00:00:00
E010,E062,1,1886-09-25T00:00:00,1886-09-25T00:00:00
E010,E072,1,1886-10-01T00:00:00,1886-10-01T00:00:00
E010,E073,1,1886-09-25T00:00:00,1886-09-25T00:00:00
E010,E074,1,1886-09-25T00:00:00,1886-09-25T00:00:00
E010,E078,1,1886-10-01T00:00:00,1886-10-01T00:00:00
E010,E087,1,1886-09-25T00:00:00,1886-09-25T00:00:00
E011,E013,1,1886-09-25T00:00:00,1886-09-25T00:00:00
E011,E032,1,1886-09-25T00:00:00,1886-09-25T00:00:00
E011,E033,1,1886-09-25T00:00:00,1886-09-25T00:00:00
E011,E036,1,1886-09-25T00:00:00,1886-09-25T00:00:00
E011,E037,1,1886-09-25T00:00:00,1886-09-25T00:00:00
E011,E039,1,1886-09-25T00:00:00,1886-09-25T00:00:00
E011,E051,1,1886-09-25T00:00:00,1886-09-25T00:00:00
E011,E052,1,1886-09-25T00:00:00,1886-09-25T00:00:00
E011,E059,1,1886-09-25T00:00:00,1886-09-25T00:00:00
E011,E060,1,1886-09-25T00:00:00,1886-09-25T00:00:00
E011,E062,1,1886-09-25T00:00:00,1886-09-25T00:00:00
E011,E073,1,1886-09-25T00:00:00,1886-09-25T00:00:00
E011,E074,1,1886-09-25T00:00:00,1886-09-25T00:00:00
E011,E087,1,1886-09-25T00:00:00,1886-09-25T00:00:00
E012,E013,1,1886-09-14T00:00:00,1886-09-14T00:00:00
E012,E014,1,1886-09-26T00:00:00,1886-09-26T00:00:00
E012,E015,2,1886-09-26T00:00:00,1886-09-29T00:00:00
E012,E018,1,1886-09-21T00:00:00,1886-09-21T00:00:00
E012,E020,1,1886-09-14T00:00:00,1886-09-14T00:00:00
E012,E024,3,1886-09-14T00:00:00,1886-09-29T00:00:00
E012,E026,1,1886-09-14T00:00:00,1886-09-14T00:00:00
E012,E031,1,1886-09-26T00:00:00,1886-09-26T00:00:00
E012,E032,2,1886-09-14T00:00:00,1886-09-21T00:00:00
E012,E035,1,1886-09-21T00:00:00,1886-09-21T00:00:00
E012,E038,1,1886-09-29T00:00:00,1886-09-29T00:00:00
E012,E039,5,1886-09-14T00:00:00,1886-10-03T00:00:00
E012,E047,1,1886-09-14T00:00:00,1886-09-14T00:00:00
E012,E050,1,1886-09-21T00:00:00,1886-09-21T00:00:00
E012,E053,1,1886-09-26T00:00:00,1886-09-26T00:00:00
E012,E057,1,1886-10-03T00:00:00,1886-10-03T00:00:00
E012,E058,1,1886-09-14T00:00:00,1886-09-14T00:00:00
E012,E059,2,1886-09-21T00:00:00,1886-09-29T00:00:00
