Source,Target,Type,Id,Label,timeset,Weight,Source_Type,Target_Type
E007,E081,Undirected,181,,<[-2606256000000.0]>,1,,
E007,E082,Undirected,182,,<[-2606256000000.0]>,1,,
E007,E085,Undirected,183,,<[-2606256000000.0]>,1,,
E007,E096,Undirected,184,,<[-2606256000000.0]>,1,,
E007,E097,Undirected,185,,<[-2606256000000.0]>,1,,
E007,E098,Undirected,186,,<[-2606256000000.0]>,1,,
E007,E099,Undirected,187,,<[-2606256000000.0]>,1,,
E007,E100,Undirected,188,,<[-2606256000000.0]>,1,,
E007,E101,Undirected,189,,<[-2606256000000.0]>,1,,
E007,E102,Undirected,190,,<[-2606256000000.0]>,1,,
E007,E110,Undirected,191,,<[-2606256000000.0]>,1,,
E007,E111,Undirected,192,,<[-2606256000000.0]>,1,,
E007,E112,Undirected,193,,<[-2606256000000.0]>,1,,
E007,E113,Undirected,194,,<[-2606256000000.0]>,1,,
E007,E116,Undirected,195,,<[-2606256000000.0]>,1,,
E007,E117,Undirected,196,,<[-2606256000000.0]>,1,,
E007,E124,Undirected,197,,<[-2606256000000.0]>,1,,
E007,E125,Undirected,198,,<[-2606256000000.0]>,1,,
E007,E126,Undirected,199,,<[-2606256000000.0]>,1,,
E007,E137,Undirected,200,,<[-2606256000000.0]>,1,,
E007,E138,Undirected,201,,<[-2606256000000.0]>,1,,
E007,E139,Undirected,202,,<[-2606256000000.0]>,1,,
E007,E140,Undirected,203,,<[-2606256000000.0]>,1,,
E007,E147,Undirected,204,,<[-2606256000000.0]>,1,,
E007,E148,Undirected,205,,<[-2606256000000.0]>,1,,
E008,E009,Undirected,206,,<[-2606256000000.0]>,1,,
E008,E010,Undirected,207,,<[-2606256000000.0]>,1,,
E008,E015,Undirected,208,,<[-2606256000000.0]>,1,,
E008,E016,Undirected,209,,<[-2606256000000.0]>,1,,
E008,E017,Undirected,210,,<[-2606256000000.0]>,1,,
E008,E018,Undirected,211,,<[-2606256000000.0]>,1,,
E008,E019,Undirected,212,,<[-2606256000000.0]>,1,,
E008,E025,Undirected,213,,<[-2606256000000.0]>,1,,
E008,E027,Undirected,214,,<[-2606256000000.0]>,1,,
E008,E031,Undirected,215,,<[-2606256000000.0]>,1,,
E008,E032,Undirected,216,,<[-2606256000000.0]>,1,,
E008,E033,Undirected,217,,<[-2606256000000.0]>,1,,
E008,E034,Undirected,218,,<[-2606256000000.0]>,1,,
E008,E039,Undirected,219,,<[-2606256000000.0]>,1,,
E008,E040,Undirected,220,,<[-2606256000000.0]>,1,,
E008,E041,Undirected,221,,<[-2606256000000.0]>,1,,
E008,E042,Undirected,222,,<[-2606256000000.0]>,1,,
E008,E043,Undirected,223,,<[-2606256000000.0]>,1,,
E008,E052,Undirected,224,,<[-2606256000000.0]>,1,,
E008,E053,Undirected,225,,<[-2606256000000.0]>,1,,
E008,E054,Undirected,226,,<[-2606256000000.0]>,1,,
E008,E055,Undirected,227,,<[-2606256000000.0]>,1,,
E008,E061,Undirected,228,,<[-2606256000000.0]>,1,,
E008,E062,Undirected,229,,<[-2606256000000.0]>,1,,
E008,E063,Undirected,230,,<[-2606256000000.0]>,1,,
E008,E064,Undirected,231,,<[-2606256000000.0]>,1,,
E008,E065,Undirected,232,,<[-2606256000000.0]>,1,,
E008,E074,Undirected,233,,<[-2606256000000.0]>,1,,
E008,E075,Undirected,234,,<[-2606256000000.0]>,1,,
E008,E076,Undirected,235,,<[-2606256000000.0]>,1,,
E008,E081,Undirected,236,,<[-2606256000000.0]>,1,,
E008,E082,Undirected,237,,<[-2606256000000.0]>,1,,
E008,E085,Undirected,238,,<[-2606256000000.0]>,1,,
E008,E096,Undirected,239,,<[-2606256000000.0]>,1,,
E008,E097,Undirected,240,,<[-2606256000000.0]>,1,,
E008,E098,Undirected,241,,<[-2606256000000.0]>,1,,
E008,E099,Undirected,242,,<[-2606256000000.0]>,1,,
E008,E100,Undirected,243,,<[-2606256000000.0]>,1,,
E008,E101,Undirected,244,,<[-2606256000000.0]>,1,,
E008,E102,Undirected,245,,<[-2606256000000.0]>,1,,
E008,E110,Undirected,246,,<[-2606256000000.0]>,1,,
E008,E111,Undirected,247,,<[-2606256000000.0]>,1,,
E008,E112,Undirected,248,,<[-2606256000000.0]>,1,,
E008,E113,Undirected,249,,<[-2606256000000.0]>,1,,
E008,E116,Undirected,250,,<[-2606256000000.0]>,1,,
E008,E117,Undirected,251,,<[-2606256000000.0]>,1,,
E008,E124,Undirected,252,,<[-2606256000000.0]>,1,,
E008,E125,Undirected,253,,<[-2606256000000.0]>,1,,
E008,E126,Undirected,254,,<[-2606256000000.0]>,1,,
E008,E137,Undirected,255,,<[-2606256000000.0]>,1,,
E008,E138,Undirected,256,,<[-2606256000000.0]>,1,,
E008,E139,Undirected,257,,<[-2606256000000.0]>,1,,
E008,E140,Undirected,258,,<[-2606256000000.0]>,1,,
E008,E147,Undirected,259,,<[-2606256000000.0]>,1,,
E008,E148,Undirected,260,,<[-2606256000000.0]>,1,,
E009,E010,Undirected,261,,<[-2606256000000.0]>,1,,
E009,E015,Undirected,262,,<[-2606256000000.0]>,1,,
E009,E016,Undirected,263,,<[-2606256000000.0]>,1,,
E009,E017,Undirected,264,,<[-2606256000000.0]>,1,,
E009,E018,Undirected,265,,<[-2606256000000.0]>,1,,
E009,E019,Undirected,266,,<[-2606256000000.0]>,1,,
E009,E025,Undirected,267,,<[-2606256000000.0]>,1,,
E009,E027,Undirected,268,,<[-2606256000000.0]>,1,,
E009,E031,Undirected,269,,<[-2606256000000.0]>,1,,
E009,E032,Undirected,270,,<[-2606256000000.0]>,1,,
E009,E033,Undirected,271,,<[-2606256000000.0]>,1,,
E009,E034,Undirected,272,,<[-2606256000000.0]>,1,,
E009,E039,Undirected,273,,<[-2606256000000.0]>,1,,
E009,E040,Undirected,274,,<[-2606256000000.0]>,1,,
E009,E041,Undirected,275,,<[-2606256000000.0]>,1,,
E009,E042,Undirected,276,,<[-2606256000000.0]>,1,,
E009,E043,Undirected,277,,<[-2606256000000.0]>,1,,
E009,E052,Undirected,278,,<[-2606256000000.0]>,1,,
E009,E053,Undirected,279,,<[-2606256000000.0]>,1,,
E009,E054,Undirected,280,,<[-2606256000000.0]>,1,,
E009,E055,Undirected,281,,<[-2606256000000.0]>,1,,
E009,E061,Undirected,282,,<[-2606256000000.0]>,1,,
E009,E062,Undirected,283,,<[-2606256000000.0]>,1,,
E009,E063,Undirected,284,,<[-2606256000000.0]>,1,,
E009,E064,Undirected,285,,<[-2606256000000.0]>,1,,
E009,E065,Undirected,286,,<[-2606256000000.0]>,1,,
E009,E074,Undirected,287,,<[-2606256000000.0]>,1,,
E009,E075,Undirected,288,,<[-2606256000000.0]>,1,,
E009,E076,Undirected,289,,<[-2606256000000.0]>,1,,
E009,E081,Undirected,290,,<[-2606256000000.0]>,1,,
E009,E082,Undirected,291,,<[-2606256000000.0]>,1,,
E009,E085,Undirected,292,,<[-2606256000000.0]>,1,,
E009,E096,Undirected,293,,<[-2606256000000.0]>,1,,
E009,E097,Undirected,294,,<[-2606256000000.0]>,1,,
E009,E098,Undirected,295,,<[-2606256000000.0]>,1,,
E009,E099,Undirected,296,,<[-2606256000000.0]>,1,,
E009,E100,Undirected,297,,<[-2606256000000.0]>,1,,
E009,E101,Undirected,298,,<[-2606256000000.0]>,1,,
E009,E102,Undirected,299,,<[-2606256000000.0]>,1,,
E009,E110,Undirected,300,,<[-2606256000000.0]>,1,,
E009,E111,Undirected,301,,<[-2606256000000.0]>,1,,
E009,E112,Undirected,302,,<[-2606256000000.0]>,1,,
E009,E113,Undirected,303,,<[-2606256000000.0]>,1,,
E009,E116,Undirected,304,,<[-2606256000000.0]>,1,,
E009,E117,Undirected,305,,<[-2606256000000.0]>,1,,
E009,E124,Undirected,306,,<[-2606256000000.0]>,1,,
E009,E125,Undirected,307,,<[-2606256000000.0]>,1,,
E009,E126,Undirected,308,,<[-2606256000000.0]>,1,,
